LinReg,LinRegError,ARIMA,ARIMAError,kNN,kNNError,MLP,MLPError
265.4665014320135,144.12123778690702,360.8826615395114,10.819613336539664,328.6549987792969,141.82958751485003,321.02412134008637,139.84045814840383
265.45580123437685,144.12123778690702,382.55624866608815,10.819613336539664,298.0862503051758,141.82958751485003,317.07397465777973,139.84045814840383
265.4451010367402,144.12123778690702,382.3537867359133,10.819613336539664,300.30249786376953,141.82958751485003,302.9548483530282,139.84045814840383
265.43440083910355,144.12123778690702,393.9065810862707,10.819613336539664,277.7862434387207,141.82958751485003,277.63049784381593,139.84045814840383
265.4237006414669,144.12123778690702,407.70373427102044,10.819613336539664,271.5487518310547,141.82958751485003,261.29549410846755,139.84045814840383
265.39160004855785,144.12123778690702,407.0468515221345,10.819613336539664,222.10999870300293,141.82958751485003,255.06988130442508,139.84045814840383
265.3808998509212,144.12123778690702,422.65108481167255,10.819613336539664,256.6487503051758,141.82958751485003,255.0235868001393,139.84045814840383
265.3594994556488,144.12123778690702,427.27870880784883,10.819613336539664,230.34499740600586,141.82958751485003,255.0122607914185,139.84045814840383
265.34879925801215,144.12123778690702,434.46281910217283,10.819613336539664,238.3174991607666,141.82958751485003,255.01187234462913,139.84045814840383
265.3166986651022,144.12123778690702,432.70336681670545,10.819613336539664,344.8037528991699,141.82958751485003,255.0117702897351,139.84045814840383
