LinReg,LinRegError,ARIMA,ARIMAError,kNN,kNNError,MLP,MLPError
314.5311256476707,95.23460493181399,361.68484869403204,10.541666825749163,213.55999755859375,132.67543844896346,202.24869131811334,147.94202512465998
314.5828918936386,95.23460493181399,390.81911634012215,10.541666825749163,242.47000122070312,132.67543844896346,222.830014772353,147.94202512465998
314.6346581396065,95.23460493181399,386.10036071190524,10.541666825749163,261.64666748046875,132.67543844896346,222.89938935977847,147.94202512465998
314.68642438557436,95.23460493181399,404.124528117127,10.541666825749163,197.49666849772134,132.67543844896346,222.89938936440797,147.94202512465998
314.73819063154224,95.23460493181399,411.91905640541665,10.541666825749163,220.58333333333334,132.67543844896346,222.8993932817688,147.94202512465998
314.8934893694459,95.23460493181399,414.5048173111193,10.541666825749163,380.8199971516927,132.67543844896346,347.6960919434829,147.94202512465998
314.94525561541377,95.23460493181399,427.64602159809124,10.541666825749163,324.22999064127606,132.67543844896346,320.89873489028287,147.94202512465998
315.04878810734954,95.23460493181399,432.6300010575648,10.541666825749163,317.2200012207031,132.67543844896346,317.37303729415527,147.94202512465998
315.1005543533174,95.23460493181399,439.2782208496567,10.541666825749163,346.3833312988281,132.67543844896346,317.3501947924511,147.94202512465998
315.25585309122107,95.23460493181399,434.1661174800035,10.541666825749163,356.92333984375,132.67543844896346,255.01169077415656,147.94202512465998
