LinReg,LinRegError,ARIMA,ARIMAError,kNN,kNNError,MLP,MLPError
152.6664877475996,3.4676357539598044,154.35978814171386,0.9194770321438128,101.88285718645368,34.61394856784971,101.82307785366991,35.00483776853071
152.80108677552198,3.4676357539598044,155.39327213009312,0.9194770321438128,105.5585708618164,34.61394856784971,105.15325744044071,35.00483776853071
152.93568580344436,3.4676357539598044,154.8088932317604,0.9194770321438128,109.69571467808315,34.61394856784971,109.64701881003094,35.00483776853071
153.07028483136673,3.4676357539598044,154.7653250181159,0.9194770321438128,116.85142844063895,34.61394856784971,115.07885794978202,35.00483776853071
153.2048838592891,3.4676357539598044,155.88416068336892,0.9194770321438128,120.35714285714286,34.61394856784971,120.83458863955138,35.00483776853071
153.60868094305624,3.4676357539598044,157.28182356435136,0.9194770321438128,135.55713980538505,34.61394856784971,133.5816135334173,35.00483776853071
153.74327997097862,3.4676357539598044,157.36297805329673,0.9194770321438128,137.5728541782924,34.61394856784971,135.69772499303343,35.00483776853071
154.01247802682337,3.4676357539598044,157.58485269327232,0.9194770321438128,137.5057155064174,34.61394856784971,137.88853281249612,35.00483776853071
154.14707705474575,3.4676357539598044,158.76105104050197,0.9194770321438128,137.48856898716517,34.61394856784971,138.45725330774064,35.00483776853071
154.55087413851288,3.4676357539598044,158.98402035644435,0.9194770321438128,151.94857134137834,34.61394856784971,151.57977747834443,35.00483776853071
